rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
164,134,Wyoming,fbs,Mountain West,26.458171,1,2,0,31.888542
165,27,Eastern Washington,fcs,Big Sky,26.232397,1,3,0,38.376564
166,28,South Carolina State,fcs,MEAC,26.113703,4,0,0,4.515118
167,29,Gardner-Webb,fcs,OVC,26.084404,1,3,0,28.014222
168,135,Eastern Michigan,fbs,Mid-American,25.76546,1,3,0,39.037937
169,30,Furman,fcs,Southern,25.70372,2,2,0,30.952262
170,31,Idaho,fcs,Big Sky,25.68371,0,4,0,37.516323
171,32,Cal Poly,fcs,Big Sky,25.611415,2,2,0,24.193962
172,33,Rhode Island,fcs,Coastal Athletic,25.058183,2,2,0,22.972027
173,5,Northwest Missouri State,ii,Mid America,24.951172,3,0,0,0.691669
174,34,Chattanooga,fcs,Southern,24.739376,2,2,0,23.045532
175,35,West Florida,fcs,UAC,24.528253,2,1,0,28.419526
176,36,Northern Iowa,fcs,MVFC,24.397706,1,2,0,30.766075
177,37,Southern Utah,fcs,Big Sky,24.115007,1,3,0,28.921897
178,38,Jackson State,fcs,SWAC,24.015449,3,0,0,-0.21334
179,6,Minnesota State,ii,Northern Sun,24.013792,4,0,0,-0.674751
180,136,Sacramento State,fbs,Mid-American,23.990154,1,3,0,27.780279
181,39,Villanova,fcs,Patriot,23.988717,2,2,0,24.824727
182,137,Charlotte,fbs,American Athletic,23.962467,0,3,0,39.040978
183,40,Prairie View A&M,fcs,SWAC,23.882238,1,3,0,35.249136
184,41,Pennsylvania,fcs,Ivy,23.772236,1,0,0,9.961556
185,7,East Central,ii,Great American,23.619982,3,0,0,12.002203
186,8,Ouachita Baptist,ii,Great American,23.588854,2,1,0,18.398732
187,138,UL Monroe,fbs,Sun Belt,23.449235,0,3,0,37.327487
188,9,Grand Valley State,ii,GLIAC,23.175215,4,0,0,-3.453034
189,42,East Tennessee State,fcs,Southern,22.96669,2,2,0,21.268738
190,43,SE Louisiana,fcs,Southland,22.881231,2,2,0,24.261589
191,44,Monmouth,fcs,Coastal Athletic,22.692788,2,2,0,29.678079
192,45,Incarnate Word,fcs,Southland,22.196934,2,1,0,11.56938
193,46,Southeast Missouri State,fcs,OVC,22.025882,2,2,0,30.131767
194,47,Richmond,fcs,Patriot,22.012262,3,1,0,21.629063
195,48,Stony Brook,fcs,Coastal Athletic,21.917085,2,2,0,21.626301
196,49,Wofford,fcs,Southern,21.802786,2,2,0,24.104536
197,1,Wesleyan (CT),iii,NESCAC,21.537942,1,0,0,-3.513727
198,50,Alabama State,fcs,SWAC,21.512932,2,1,0,6.947378
199,51,North Alabama,fcs,UAC,21.500925,2,2,0,21.099539
200,52,Weber State,fcs,Big Sky,20.798121,2,2,0,20.989141
201,53,Bryant,fcs,Coastal Athletic,20.192925,3,1,0,17.676021
202,54,Northern Colorado,fcs,Big Sky,20.183094,1,3,0,25.58671
203,55,Central Connecticut,fcs,NEC,20.136749,0,3,0,43.997898
204,10,Fort Hays,ii,Mid America,19.968469,2,1,0,9.195931
205,56,UAlbany,fcs,Coastal Athletic,19.904358,2,2,0,19.470193
206,11,Central Washington,ii,Lone Star,19.811258,1,2,0,21.696296
207,57,Nicholls,fcs,Southland,19.627899,2,2,0,26.613324
208,58,McNeese,fcs,Southland,19.511267,1,3,0,23.253913
209,59,Indiana State,fcs,MVFC,18.946491,2,2,0,17.785675
210,60,Bethune-Cookman,fcs,SWAC,18.426932,2,1,0,10.395962
211,61,Howard,fcs,MEAC,18.276981,1,2,0,34.49898
212,12,Western Colorado,ii,Rocky Mountain,18.183669,4,0,0,-0.330889
213,62,Central Arkansas,fcs,UAC,18.155692,2,2,0,17.567394
214,63,Portland State,fcs,Big Sky,18.138672,0,4,0,44.240235
215,64,San Diego,fcs,Pioneer,18.098739,1,2,0,33.960342
216,65,Grambling,fcs,SWAC,18.066173,2,1,0,10.436539
217,66,Utah Tech,fcs,Big Sky,17.964839,0,4,0,43.757827
218,67,Western Illinois,fcs,OVC,17.888154,2,2,0,19.140259
219,13,Southeastern Oklahoma State,ii,Great American,17.810009,2,1,0,16.541879
220,68,Princeton,fcs,Ivy,17.799231,0,1,0,20.192925
221,69,William & Mary,fcs,Patriot,17.662424,2,2,0,24.111115
222,70,Brown,fcs,Ivy,17.662149,1,0,0,1.233451
